date,vnd_per_cad,open,high,low,change_pct,year,month
2024-10-17,18251.67,18169.27,18296.36,18161.99,0.53,2024,10
2024-10-18,18222.0,18261.22,18325.85,18213.73,-0.16,2024,10
2024-10-21,18280.08,18232.87,18321.69,18220.98,0.32,2024,10
2024-10-22,18373.25,18293.88,18392.76,18284.63,0.51,2024,10
2024-10-23,18356.58,18384.77,18403.34,18328.71,-0.09,2024,10
2024-10-24,18320.58,18361.15,18412.96,18312.9,-0.2,2024,10
2024-10-25,18250.2,18332.73,18361.01,18253.11,-0.38,2024,10
2024-10-28,18246.94,18262.96,18301.2,18227.89,-0.02,2024,10
2024-10-29,18176.92,18249.54,18260.71,18168.12,-0.38,2024,10
2024-10-30,18181.82,18189.01,18247.44,18143.02,0.03,2024,10
2024-10-31,18135.5,18191.95,18218.4,18126.41,-0.25,2024,10
2024-11-01,18114.07,18145.93,18200.46,18123.21,-0.12,2024,11
2024-11-04,18204.7,18144.65,18249.96,18143.36,0.5,2024,11
2024-11-05,18317.91,18213.21,18336.05,18191.63,0.62,2024,11
2024-11-06,18199.43,18331.4,18337.38,18184.75,-0.65,2024,11
2024-11-07,18287.4,18210.84,18325.99,18197.79,0.48,2024,11
2024-11-08,18159.6,18298.89,18304.16,18144.95,-0.7,2024,11
2024-11-11,18175.94,18172.34,18205.34,18139.71,0.09,2024,11
2024-11-12,18170.08,18190.31,18206.96,18145.9,-0.03,2024,11
2024-11-13,18095.44,18179.21,18192.59,18098.4,-0.41,2024,11
2024-11-14,18057.04,18107.46,18148.71,18059.65,-0.21,2024,11
2024-11-15,18008.94,18071.22,18093.71,17998.79,-0.27,2024,11
2024-11-18,18127.01,18018.6,18149.69,17990.63,0.66,2024,11
2024-11-19,18191.26,18135.44,18206.25,18093.34,0.35,2024,11
2024-11-20,18180.84,18201.69,18217.99,18140.63,-0.06,2024,11
2024-11-21,18183.44,18191.9,18250.18,18181.72,0.01,2024,11
2024-11-22,18180.97,18195.97,18215.2,18134.01,-0.01,2024,11
2024-11-25,18165.57,18182.4,18252.26,18146.13,-0.08,2024,11
2024-11-26,18074.13,18174.02,18182.47,17927.92,-0.5,2024,11
2024-11-27,18083.67,18084.46,18121.14,18045.19,0.05,2024,11
2024-11-28,18094.76,18094.02,18132.1,18060.96,0.06,2024,11
2024-11-29,18098.98,18106.12,18156.15,18044.07,0.02,2024,11
2024-12-02,18058.5,18095.6,18123.41,18010.01,-0.22,2024,12
2024-12-03,18047.76,18062.56,18134.77,18035.72,-0.06,2024,12
2024-12-04,18047.46,18057.43,18083.48,18013.0,0.0,2024,12
2024-12-05,18091.1,18055.21,18123.42,18010.09,0.24,2024,12
2024-12-06,17917.67,18098.88,18116.41,17922.06,-0.96,2024,12
2024-12-09,17901.5,17932.19,18009.58,17899.54,-0.09,2024,12
2024-12-10,17878.04,17911.09,17920.1,17867.71,-0.13,2024,12
2024-12-11,17923.73,17891.03,17982.22,17879.16,0.26,2024,12
2024-12-12,17856.69,17933.96,17972.47,17848.69,-0.37,2024,12
2024-12-13,17844.6,17858.1,17880.14,17825.92,-0.07,2024,12
2024-12-16,17822.79,17851.25,17870.08,17796.7,-0.12,2024,12
2024-12-17,17769.55,17831.69,17844.22,17758.54,-0.3,2024,12
2024-12-18,17611.43,17777.78,17795.72,17616.53,-0.89,2024,12
2024-12-19,17674.84,17618.36,17751.95,17593.39,0.36,2024,12
2024-12-20,17703.33,17683.52,17757.23,17632.04,0.16,2024,12
2024-12-23,17699.85,17725.71,17745.03,17631.37,-0.02,2024,12
2024-12-24,17699.27,17709.89,17731.93,17640.94,0.0,2024,12
2024-12-25,17694.56,17720.2,17722.66,17679.38,-0.03,2024,12
2024-12-26,17646.45,17702.75,17734.65,17636.86,-0.27,2024,12
2024-12-27,17655.43,17654.0,17708.45,17615.31,0.05,2024,12
2024-12-30,17744.65,17658.08,17767.01,17655.02,0.51,2024,12
2024-12-31,17712.9,17746.6,17780.61,17685.02,-0.18,2024,12
2025-01-01,17711.66,17719.46,17723.77,17711.45,-0.01,2025,1
2025-01-02,17668.7,17715.76,17737.33,17625.57,-0.24,2025,1
2025-01-03,17580.29,17675.76,17702.58,17577.52,-0.5,2025,1
2025-01-06,17701.65,17598.81,17774.36,17590.29,0.69,2025,1
2025-01-07,17645.42,17709.24,17754.51,17651.15,-0.32,2025,1
2025-01-08,17645.01,17660.37,17705.26,17613.89,0.0,2025,1
2025-01-09,17627.65,17657.39,17671.85,17620.01,-0.1,2025,1
2025-01-10,17583.03,17634.7,17649.93,17563.78,-0.25,2025,1
2025-01-13,17656.47,17583.87,17669.56,17572.9,0.42,2025,1
2025-01-14,17685.18,17672.03,17709.61,17617.88,0.16,2025,1
2025-01-15,17691.56,17694.62,17749.88,17667.57,0.04,2025,1
2025-01-16,17622.95,17697.91,17725.1,17618.37,-0.39,2025,1
2025-01-17,17481.53,17630.0,17638.57,17485.33,-0.8,2025,1
2025-01-20,17690.43,17514.35,17757.09,17483.52,1.19,2025,1
2025-01-21,17634.74,17703.09,17722.29,17443.94,-0.31,2025,1
2025-01-22,17421.24,17643.57,17651.58,17432.69,-1.21,2025,1
2025-01-23,17434.83,17455.73,17532.36,17373.63,0.08,2025,1
2025-01-24,17467.07,17472.63,17547.32,17442.93,0.18,2025,1
2025-01-27,17434.26,17484.06,17498.7,17413.65,-0.19,2025,1
2025-01-28,17400.36,17449.38,17456.06,17390.71,-0.19,2025,1
2025-01-29,17376.23,17416.67,17427.56,17329.41,-0.14,2025,1
2025-01-30,17291.11,17391.91,17426.96,17183.97,-0.49,2025,1
2025-01-31,17247.08,17307.89,17450.61,17224.69,-0.25,2025,1
2025-02-03,17519.06,17074.0,17583.49,16918.5,1.58,2025,2
2025-02-04,17563.7,17535.36,17606.55,17377.96,0.25,2025,2
2025-02-05,17569.17,17581.96,17642.02,17528.62,0.03,2025,2
2025-02-06,17653.23,17585.32,17670.71,17545.79,0.48,2025,2
2025-02-07,17691.5,17659.6,17733.4,17641.13,0.22,2025,2
2025-02-10,17727.18,17703.63,17749.04,17599.01,0.2,2025,2
2025-02-11,17865.64,17734.16,17887.04,17703.87,0.78,2025,2
2025-02-12,17855.89,17876.39,17934.69,17823.4,-0.05,2025,2
2025-02-13,17925.59,17873.25,17955.22,17800.85,0.39,2025,2
2025-02-14,17881.31,17941.31,17960.61,17889.1,-0.25,2025,2
2025-02-17,17953.06,17903.61,17978.04,17890.99,0.4,2025,2
2025-02-18,17956.48,17967.56,18029.54,17906.82,0.02,2025,2
2025-02-19,17921.61,17972.47,18028.62,17913.18,-0.19,2025,2
2025-02-20,17984.34,17925.13,18014.97,17913.3,0.35,2025,2
2025-02-21,17933.22,18000.99,18028.16,17928.01,-0.28,2025,2
